label,study_and_condition
__label__0,study interventions are Saracatinib . recurrent verrucous carcinoma of the larynx diagnosis and patients must agree to use adequate birth control for the duration of study participation and for at least eight weeks after discontinuation of study drug
__label__1,study interventions are Stem cell transplantation . hodgkin lymphoma diagnosis and history of congenital hematologic immunologic or metabolic disorder which in the estimation of the pi poses prohibitive risk to the recipient
__label__0,study interventions are Lenograstim . recurrent adult diffuse mixed cell lymphoma diagnosis and creatinine clearance crcl greater than fifty ml per minute all tests must be performed within twenty-eight days prior to registration
__label__0,study interventions are Doxorubicin . stage iii diffuse large cell lymphoma diagnosis and stages ii bulky disease defined as mass size of more than ten cm stage iii or iv ann_arbor staging patients with stage and stage ii non bulky disease are excluded from this study
__label__1,study interventions are Poly I-C . prostate cancer diagnosis and unresolved iraes following prior biological therapy except that stable and managed iraes may be acceptable hypothyroidism or hypopituitarism on appropriate replacement
__label__1,study interventions are Bevacizumab . stage iiic primary peritoneal cancer diagnosis and uncontrolled hypertension defined as systolic greater_than one hundred and fifty mm hg or diastolic greater_than ninety mmhg
__label__0,study interventions are Carboplatin . stage iib uterine sarcoma diagnosis and patients must be entered no more than twelve weeks post operatively
__label__0,study interventions are Vidarabine . stage iv childhood small noncleaved cell lymphoma diagnosis and acute myeloid leukemia aml
__label__1,study interventions are Dexamethasone 21-phosphate . non secretory multiple myeloma
__label__1,study interventions are Microwave ablation . hepatic neoplasms diagnosis and severe renal dysfunction creatinine clearance of less_than forty ml min
__label__1,study interventions are Liposomal doxorubicin . breast neoplasms diagnosis and concurrent treatment with other experimental drugs
__label__0,study interventions are Sirolimus . lymphoma diagnosis and myelofibrosis and other myeloproliferative disorders
__label__0,study interventions are Methylprednisolone acetate . primary peritoneal cancer diagnosis and creatinine cr less_than or equal_than doc mg dl
__label__1,"study interventions are Antibodies, Monoclonal . stage iiib non small cell lung cancer diagnosis and significant uncontrolled cardiac disease within the past six months including any of the following"
__label__1,study interventions are Cyclophosphamide . metachromatic_leukodystrophy mld diagnosis and evidence of human immunodeficiency virus hiv infection or known hiv positive serology
__label__0,study interventions are Podophyllotoxin . stage iiib hodgkin lymphoma diagnosis and male doc mg dl female doc mg dl
__label__1,"study interventions are Antibodies, Monoclonal . fallopian tube clear cell adenocarcinoma diagnosis and history of severe allergic anaphylactic or other hypersensitivity reactions to chimeric or humanized antibodies or fusion proteins"
__label__0,study interventions are Cyclin-Dependent Kinase Inhibitor Proteins . triple negative breast cancer diagnosis and male subjects of childbearing potential must agree to use an adequate method of contraception starting with the first dose of study therapy through one hundred and twenty days after the last dose of study therapy
__label__0,study interventions are Prophylactic postoperative radiation therapy . esophageal cancer tnm staging primary tumor tthree diagnosis and regular follow up
__label__1,study interventions are Olaparib . administration of other simultaneous chemotherapy drugs any other anticancer therapy or anti neoplastic hormonal therapy or simultaneous radiotherapy during the trial treatment period hormonal replacement therapy is permitted as are steroidal antiemetics
__label__0,study interventions are Antibodies . kidney cancer diagnosis and all subjects must have archived or current tissue from primary or metastatic focus available for psma determination
__label__0,study interventions are Fludarabine phosphate . recurrent grade two follicular lymphoma diagnosis and donor
__label__1,study interventions are Immunoglobulin G . recurrent primary peritoneal carcinoma diagnosis and has diagnosis of immunodeficiency or is receiving systemic steroid therapy or any other form of immunosuppressive therapy within seven days prior to the first dose of trial treatment or is taking any other medication that might affect immune function
__label__0,study interventions are Fludarabine . stage grade one follicular lymphoma diagnosis and they have been treated with more than one regimen of haart for total of at least six months duration
__label__1,study interventions are Laboratory Biomarker Analysis . refractory diffuse large cell lymphoma diagnosis and left ventricular ejection fraction lvef less_than fifty regardless of whether there are symptoms of heart failure
__label__0,study interventions are Albumin-Bound Paclitaxel . cervical adenosarcoma diagnosis and platelet count plt greater_than equal_than one hundred zero mm three
__label__0,study interventions are Staurosporine . lymphoma diagnosis and no prior allergic reactions to compounds of similar chemical or biological composition to ucn one or other agents in this study
__label__1,study interventions are Folic Acid . metastatic colorectal cancer diagnosis and known history of alcohol or drug abuse
__label__1,study interventions are Mycophenolate mofetil . contiguous stage ii adult diffuse small cleaved cell lymphoma diagnosis and patient with rapidly progressive aggressive nhl unless in minimal disease state
__label__0,study interventions are TLR9 Agonist SD-101 . recurrent follicular lymphoma diagnosis and absolute neutrophil count anc greater_than equal_than one thousand mm three independent of growth factor support
__label__0,study interventions are Immunoglobulins . refractory small lymphocytic lymphoma diagnosis and females of childbearing potential fcbp must have negative serum or urine pregnancy test with sensitivity of at least twenty-five miu ml within ten fourteen days and again within twenty-four hours prior to starting cycle one of lenalidomide further they must either commit to continued abstinence from heterosexual intercourse or begin two acceptable methods of birth control
__label__1,study interventions are Dexamethasone . multiple myeloma diagnosis and serum clinical chemistry
__label__0,study interventions are Sorafenib . however if more than one symptomatic bone metastasis is identified one will be chosen as the index lesion for reporting purposes
__label__1,study interventions are Doxorubicin . ovarian endometrioid adenocarcinoma diagnosis and patients with eczema psoriasis lichen_simplex chronicus or vitiligo with dermatologic manifestations only patients with psoriatic arthritis would be excluded are permitted provided that they meet the following conditions
__label__0,study interventions are Cyclophosphamide . primary peritoneal carcinoma diagnosis and no prior stroke
__label__0,study interventions are Trastuzumab . cepseventeen ratio greater_than two biopsy proven breast cancer
__label__0,study interventions are Camptothecin . brain and central nervous system tumors diagnosis and disease characteristics
__label__1,study interventions are Fludarabine phosphate . patients with active non hematologic malignancies except non melanoma skin cancers this exclusion does not apply to patients with non hematologic malignancies that do not require therapy
__label__1,study interventions are Carboplatin . stage iva uterine sarcoma diagnosis and total serum bilirubin greater_than doc mg dl
__label__0,study interventions are Liposomal doxorubicin . stage ii enteropathy associated cell lymphoma diagnosis and the development of erythema_nodosum if characterized by desquamating_rash while taking thalidomide lenalidomide or similar drugs
__label__0,study interventions are Levoleucovorin . stage iv esophageal cancer diagnosis and locally advanced or metastatic disease that is inoperable and not amenable to curative therapy linitis_plastica is permitted
__label__1,study interventions are Fludarabine phosphate . noncontiguous stage ii small lymphocytic lymphoma diagnosis and donor
__label__1,study interventions are dynamic contrast-enhanced magnetic resonance imaging . recurrent renal cell cancer diagnosis and subjects with recent dvt who have been treated with therapeutic anti coagulating agents for at least six weeks are eligible
__label__0,study interventions are Methylprednisolone . testicular germ cell tumor diagnosis and no systemic immunosuppression tapered or stopped for treatment of leukemic relapse or minimal residual disease
__label__0,study interventions are Rituximab . stage iv grade one follicular lymphoma diagnosis and able to take aspirin 8one or three hundred and twenty-five mg daily as prophylactic anticoagulation patients intolerant to asa may use warfarin or low molecular weight heparin
__label__1,study interventions are Rituximab . adult burkitt lymphoma diagnosis and patients who have known allergy to any of the study medications their analogues or excipients in the various formulations of any agent are not eligible
__label__0,study interventions are Oxaliplatin . recurrent childhood ependymoma diagnosis and creatinine clearance or radioisotope glomerular filtration rate greater_than seventy ml min
__label__1,"study interventions are Antibodies, Monoclonal . fallopian tube transitional cell carcinoma diagnosis and any of the following"
